To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved
de2_115_tv_i2c_i2c_sclk,Output,PIN_B7,8,B8_N1,3.3-V LVTTL,
de2_115_tv_i2c_i2c_sdat,Bidir,PIN_A8,8,B8_N1,3.3-V LVTTL,
de2_115_tv_leds_ledg[8],Output,PIN_F17,7,B7_N2,2.5 V,
de2_115_tv_leds_ledg[7],Output,PIN_G21,7,B7_N1,2.5 V,
de2_115_tv_leds_ledg[6],Output,PIN_G22,7,B7_N2,2.5 V,
de2_115_tv_leds_ledg[5],Output,PIN_G20,7,B7_N1,2.5 V,
de2_115_tv_leds_ledg[4],Output,PIN_H21,7,B7_N2,2.5 V,
de2_115_tv_leds_ledg[3],Output,PIN_E24,7,B7_N1,2.5 V,
de2_115_tv_leds_ledg[2],Output,PIN_E25,7,B7_N1,2.5 V,
de2_115_tv_leds_ledg[1],Output,PIN_E22,7,B7_N0,2.5 V,
de2_115_tv_leds_ledg[0],Output,PIN_E21,7,B7_N0,2.5 V,
de2_115_tv_leds_ledr[17],Output,PIN_H15,7,B7_N2,2.5 V,
de2_115_tv_leds_ledr[16],Output,PIN_G16,7,B7_N2,2.5 V,
de2_115_tv_leds_ledr[15],Output,PIN_G15,7,B7_N2,2.5 V,
de2_115_tv_leds_ledr[14],Output,PIN_F15,7,B7_N2,2.5 V,
de2_115_tv_leds_ledr[13],Output,PIN_H17,7,B7_N2,2.5 V,
de2_115_tv_leds_ledr[12],Output,PIN_J16,7,B7_N2,2.5 V,
de2_115_tv_leds_ledr[11],Output,PIN_H16,7,B7_N2,2.5 V,
de2_115_tv_leds_ledr[10],Output,PIN_J15,7,B7_N2,2.5 V,
de2_115_tv_leds_ledr[9],Output,PIN_G17,7,B7_N1,2.5 V,
de2_115_tv_leds_ledr[8],Output,PIN_J17,7,B7_N2,2.5 V,
de2_115_tv_leds_ledr[7],Output,PIN_H19,7,B7_N2,2.5 V,
de2_115_tv_leds_ledr[6],Output,PIN_J19,7,B7_N2,2.5 V,
de2_115_tv_leds_ledr[5],Output,PIN_E18,7,B7_N1,2.5 V,
de2_115_tv_leds_ledr[4],Output,PIN_F18,7,B7_N1,2.5 V,
de2_115_tv_leds_ledr[3],Output,PIN_F21,7,B7_N0,2.5 V,
de2_115_tv_leds_ledr[2],Output,PIN_E19,7,B7_N0,2.5 V,
de2_115_tv_leds_ledr[1],Output,PIN_F19,7,B7_N0,2.5 V,
de2_115_tv_leds_ledr[0],Output,PIN_G19,7,B7_N2,2.5 V,
de2_115_tv_sdram_dram_cas_n,Output,PIN_V7,2,B2_N1,3.3-V LVTTL,
de2_115_tv_sdram_dram_ras_n,Output,PIN_U6,2,B2_N1,3.3-V LVTTL,
de2_115_tv_tvdecoder_td_reset_n,Output,PIN_G7,8,B8_N2,3.3-V LVTTL,
de2_115_tv_vga_vga_blank_n,Output,PIN_F11,8,B8_N1,3.3-V LVTTL,
