band,tcol,logit0,logit1
0,0,135,134
0,1,167,97
0,2,152,114
0,3,163,101
0,4,155,105
0,5,173,80
0,6,174,83
0,7,188,74
0,8,180,79
0,9,165,88
0,10,182,72
0,11,179,69
0,12,164,92
0,13,149,109
0,14,164,92
0,15,167,89
0,16,155,104
0,17,169,91
0,18,178,88
0,19,180,83
0,20,161,103
0,21,161,96
0,22,146,108
0,23,166,89
0,24,185,71
0,25,169,91
0,26,146,116
0,27,136,130
0,28,146,117
0,29,135,124
0,30,139,120
0,31,148,118
0,32,113,151
0,33,127,141
0,34,158,114
0,35,138,128
0,36,145,114
0,37,129,129
0,38,166,92
0,39,163,100
1,0,164,93
1,1,163,105
1,2,163,94
1,3,161,102
1,4,154,110
1,5,173,93
1,6,170,91
1,7,174,89
1,8,133,135
1,9,187,69
1,10,175,85
1,11,141,123
1,12,169,90
1,13,185,74
1,14,170,85
1,15,182,79
1,16,190,63
1,17,204,57
1,18,188,70
1,19,173,77
1,20,152,102
1,21,167,88
1,22,174,84
1,23,192,68
1,24,169,87
1,25,166,96
1,26,165,97
1,27,183,75
1,28,169,87
1,29,183,72
1,30,168,85
1,31,195,68
1,32,195,65
1,33,169,91
1,34,138,120
1,35,180,87
1,36,202,63
1,37,185,74
1,38,184,74
1,39,180,79
2,0,188,68
2,1,150,111
2,2,170,91
2,3,161,95
2,4,182,74
2,5,165,92
2,6,161,100
2,7,170,92
2,8,126,135
2,9,178,80
2,10,160,101
2,11,152,109
2,12,155,102
2,13,166,95
2,14,137,125
2,15,151,110
2,16,146,115
2,17,161,99
2,18,187,69
2,19,170,88
2,20,176,79
2,21,178,72
2,22,176,82
2,23,166,87
2,24,163,102
2,25,193,69
2,26,158,103
2,27,145,121
2,28,145,117
2,29,155,107
2,30,156,112
2,31,156,108
2,32,178,83
2,33,167,92
2,34,182,75
2,35,182,76
2,36,157,103
2,37,185,78
2,38,171,91
2,39,186,76
3,0,135,134
3,1,167,97
3,2,152,114
3,3,163,101
3,4,155,105
3,5,173,80
3,6,174,83
3,7,188,74
3,8,180,79
3,9,165,88
3,10,182,72
3,11,179,69
3,12,164,92
3,13,149,109
3,14,164,92
3,15,167,89
3,16,155,104
3,17,169,91
3,18,178,88
3,19,180,83
3,20,161,103
3,21,161,96
3,22,146,108
3,23,166,89
3,24,185,71
3,25,169,91
3,26,146,116
3,27,136,130
3,28,146,117
3,29,135,124
3,30,139,120
3,31,148,118
3,32,113,151
3,33,127,141
3,34,158,114
3,35,138,128
3,36,145,114
3,37,129,129
3,38,166,92
3,39,163,100
4,0,164,93
4,1,163,105
4,2,163,94
4,3,161,102
4,4,154,110
4,5,173,93
4,6,170,91
4,7,174,89
4,8,133,135
4,9,187,69
4,10,175,85
4,11,141,123
4,12,169,90
4,13,185,74
4,14,170,85
4,15,182,79
4,16,190,63
4,17,204,57
4,18,188,70
4,19,173,77
4,20,152,102
4,21,167,88
4,22,174,84
4,23,192,68
4,24,169,87
4,25,166,96
4,26,165,97
4,27,183,75
4,28,169,87
4,29,183,72
4,30,168,85
4,31,195,68
4,32,195,65
4,33,169,91
4,34,138,120
4,35,180,87
4,36,202,63
4,37,185,74
4,38,184,74
4,39,180,79
5,0,188,68
5,1,150,111
5,2,170,91
5,3,161,95
5,4,182,74
